"source_file","source_line_start","source_line_end","routine","target","ordinal","literal","value_type","value_numeric","value_character","upstream_commit"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",1,"0.6448","numeric",0.6448,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",2,"-0.00196","numeric",-0.00196,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",3,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",4,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",5,"zone 02         0.6096","expression",,"zone 02         0.6096","38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",6,"-0.00196","numeric",-0.00196,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",7,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",8,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",9,"11         0.31385","expression",,"11         0.31385","38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",10,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",11,"0.002985","numeric",0.002985,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"blmtap.f",19,38,"BLMTAP","(( BLMTHT(I,J), I=1,4), J=1,10)",12,"-0.00003386","numeric",-3.386e-05,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
