"id","family","species","region","forest","district","variant","product","top_code","table_variant","discovery_mode","source_file","upstream_commit"
"814CLKE100","clark_r8",100,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE107","clark_r8",107,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE110","clark_r8",110,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE111","clark_r8",111,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE115","clark_r8",115,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE121","clark_r8",121,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE123","clark_r8",123,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE126","clark_r8",126,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE128","clark_r8",128,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE129","clark_r8",129,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE131","clark_r8",131,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE132","clark_r8",132,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE197","clark_r8",197,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE221","clark_r8",221,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"814CLKE222","clark_r8",222,8,"01","03","SN","01","4","R8_CEQN","validation","TREEVOLUME_FIXTURES/clark_identifiers.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
