"spcd","symbol","common","scientific"
896,"SYCU","Java plum","Syzygium cumini"
897,"TAIN2","tamarind","Tamarindus indica"
901,"ROPS","black locust","Robinia pseudoacacia"
902,"RONE","New Mexico locust","Robinia neomexicana"
906,"ACWR4","Everglades palm, paurotis-palm","Acoelorraphe wrightii"
907,"COAR","Florida silver palm","Coccothrinax argentata"
908,"CONU","coconut palm","Cocos nucifera"
909,"ROYST","royal palm spp.","Roystonea spp."
911,"SAME8","Mexican palmetto","Sabal mexicana"
912,"SAPA","cabbage palmetto","Sabal palmetto"
913,"THMO4","key thatch palm","Thrinax morrisii"
914,"THRA2","Florida thatch palm","Thrinax radiata"
915,"ARECA","other palms","Family Arecaceae not listed above"
919,"SASAD","western soapberry","Sapindus saponaria"
920,"SALIX","willow spp.","Salix spp."
921,"SAAM2","peachleaf willow","Salix amygdaloides"
922,"SANI","black willow","Salix nigra"
923,"SABE2","Bebb willow","Salix bebbiana"
924,"SABO","Bonpland willow","Salix bonplandiana"
925,"SACA5","coastal plain willow","Salix caroliniana"
926,"SAPY","balsam willow","Salix pyrifolia"
927,"SAAL2","white willow","Salix alba"
928,"SASC","Scouler's willow","Salix scouleriana"
929,"SASE10","weeping willow","Salix x sepulcralis"
931,"SAAL5","sassafras","Sassafras albidum"
934,"SORBU","mountain-ash spp.","Sorbus spp."
935,"SOAM3","American mountain-ash","Sorbus americana"
936,"SOAU","European mountain-ash","Sorbus aucuparia"
937,"SODE3","northern mountain-ash","Sorbus decora"
940,"SWMA2","West Indian mahogany","Swietenia mahagoni"
950,"TILIA","basswood spp.","Tilia spp."
951,"TIAM","American basswood","Tilia americana"
952,"TIAMH","white basswood","Tilia americana"
953,"TIAMC","Carolina basswood","Tilia americana"
970,"ULMUS","elm spp.","Ulmus spp."
971,"ULAL","winged elm","Ulmus alata"
972,"ULAM","American elm","Ulmus americana"
973,"ULCR","cedar elm","Ulmus crassifolia"
974,"ULPU","Siberian elm","Ulmus pumila"
975,"ULRU","slippery elm","Ulmus rubra"
976,"ULSE","September elm","Ulmus serotina"
977,"ULTH","rock elm","Ulmus thomasii"
981,"UMCA","California laurel","Umbellularia californica"
982,"YUBR","Joshua tree","Yucca brevifolia"
986,"AVGE","black mangrove","Avicennia germinans"
6651,"CLRO","Scotch attorney","Clusia rosea"
6652,"CLUSI","attorney","Clusia spp."
6653,"CNHO","deepwoods fern","Cnemidaria horrida"
6655,"CNAC","treadsoftly","Cnidoscolus aconitifolius"
6658,"COCO8","uvilla","Coccoloba costata"
6660,"COKR","whitewood","Coccoloba krugii"
6661,"COMI","puckhout","Coccoloba microstachya"
6662,"COPA24","pale seagrape","Coccoloba pallida"
6663,"COPU","grandleaf seagrape","Coccoloba pubescens"
6664,"COPY","uvera","Coccoloba pyrifolia"
6665,"CORU4","ortegon","Coccoloba rugosa"
6666,"COSI2","uvero de monte","Coccoloba sintenisii"
6668,"COSW","Swartz's pigeonplum","Coccoloba swartzii"
6669,"COTE9","Bahama pigeonplum","Coccoloba tenuifolia"
6670,"COUV","seagrape","Coccoloba uvifera"
6671,"COVE","false chiggergrape","Coccoloba venosa"
6673,"COBA3","Coccothrinax barbadensis","Coccothrinax barbadensis"
6679,"COVI","silk cottontree","Cochlospermum vitifolium"
6681,"COCOS","coconut palm","Cocos spp."
6683,"COVA3","garden croton","Codiaeum variegatum"
6684,"COAR2","Arabian coffee","Coffea arabica"
6685,"CORO8","robusta coffee","Coffea robusta"
6686,"COLI8","Coffea liberica","Coffea liberica"
6687,"COFFE","coffee","Coffea spp."
6688,"COAR9","Cojoba arborea","Cojoba arborea"
6689,"COAC4","abata cola","Cola acuminata"
6691,"COSC13","uab, chuchab","Colona scabra"
6693,"COAR3","greenheart, common snakebark","Colubrina arborescens"
6694,"COAS3","Asian nakedwood","Colubrina asiatica"
6696,"PRLA5","cherry laurel","Prunus laurocerasus"
6697,"COOP","kauila","Colubrina oppositifolia"
6699,"COLUB","nakedwood","Colubrina spp."
6700,"COVE6","Urban's nakedwood","Colubrina verrucosa"
6702,"COTE15","ochaol","Combretum tetralophum"
6703,"COBA17","Mao","Commersonia bartramia"
6705,"CODO","poison ash","Comocladia dodonaea"
6706,"COGL4","carrasco","Comocladia glabra"
6707,"PRSE3","Japanese flowering cherry","Prunus serrulata"
6709,"CONOC","mangrove","Conocarpus spp."
6710,"CORU17","Luquillo Mountain snailwood","Conostegia rufescens"
6711,"COMO8","Consolea moniliformis","Consolea moniliformis"
6712,"CORU8","Consolea rubescens","Consolea rubescens"
6714,"COOF2","copaiba","Copaifera officinalis"
6716,"COFO2","forest mirrorplant","Coprosma foliosa"
6717,"COKA","koi","Coprosma kauensis"
6718,"COLO4","Oahu mirrorplant","Coprosma longifolia"
6719,"COMO3","alpine mirrorplant","Coprosma montana"
