"source_file","source_line_start","source_line_end","routine","target","ordinal","literal","value_type","value_numeric","value_character","upstream_commit"
"f_west.f",37,37,"SHP_W3","m1, m2 ,m3",1,".566","numeric",0.566,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",37,37,"SHP_W3","m1, m2 ,m3",2,".634","numeric",0.634,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",37,37,"SHP_W3","m1, m2 ,m3",3,".00074","numeric",0.00074,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",38,38,"SHP_W3","(F(I),I=13,15)",1,"-.07799267d0","numeric",-0.07799267,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",38,38,"SHP_W3","(F(I),I=13,15)",2,".8096211D0","numeric",0.8096211,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",38,38,"SHP_W3","(F(I),I=13,15)",3,"-.9247244D0","numeric",-0.9247244,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",39,39,"SHP_W3","(F(I),I=17,19)",1,"0.166749D0","numeric",0.166749,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",39,39,"SHP_W3","(F(I),I=17,19)",2,"-9.20884D0","numeric",-9.20884,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",39,39,"SHP_W3","(F(I),I=17,19)",3,".1212094D0","numeric",0.1212094,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",40,41,"SHP_W3","(F(I),I=21,24)",1,"5.0719922d0","numeric",5.0719922,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",40,41,"SHP_W3","(F(I),I=21,24)",2,"-.12555733d0","numeric",-0.12555733,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",40,41,"SHP_W3","(F(I),I=21,24)",3,"-1.6408313d0","numeric",-1.6408313,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",40,41,"SHP_W3","(F(I),I=21,24)",4,"-.3005388D0","numeric",-0.3005388,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",42,42,"SHP_W3","(F(I),I=25,26)",1,"-2.000088D0","numeric",-2.000088,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",42,42,"SHP_W3","(F(I),I=25,26)",2,"-.410677D0","numeric",-0.410677,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",43,43,"SHP_W3","(F(I),I=29,31)",1,"-1.428671d0","numeric",-1.428671,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",43,43,"SHP_W3","(F(I),I=29,31)",2,"-0.8660924d0","numeric",-0.8660924,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",43,43,"SHP_W3","(F(I),I=29,31)",3,".0543758d0","numeric",0.0543758,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",44,45,"SHP_W3","(F(I),I=33,37)",1,"0.80981083D0","numeric",0.80981083,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",44,45,"SHP_W3","(F(I),I=33,37)",2,"5.1785820d0","numeric",5.178582,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",44,45,"SHP_W3","(F(I),I=33,37)",3,"1.8935219d0","numeric",1.8935219,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",44,45,"SHP_W3","(F(I),I=33,37)",4,"-2.420031d0","numeric",-2.420031,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",44,45,"SHP_W3","(F(I),I=33,37)",5,"-.009232401D0","numeric",-0.009232401,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",46,46,"SHP_W3","(F(I),I=38,40)",1,"-11.49305d0","numeric",-11.49305,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",46,46,"SHP_W3","(F(I),I=38,40)",2,"2.037438d0","numeric",2.037438,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",46,46,"SHP_W3","(F(I),I=38,40)",3,"-.0114178d0","numeric",-0.0114178,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",47,47,"SHP_W3","(F(I),I=42,44)",1,"2.246288d0","numeric",2.246288,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"f_west.f",47,47,"SHP_W3","(F(I),I=42,44)",2,"-1.1410822d0","numeric",-1.1410822,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
