"state","county","division","mountain","province","section","subregion_code","predominant_area_percent","source_page"
1,1,231,1,231,2,123102,95.7,21
1,3,232,1,232,2,123202,100,21
1,5,231,1,231,2,123102,100,21
1,7,231,1,231,2,123102,82.2,21
1,9,231,1,231,3,123103,100,21
1,11,231,1,231,2,123102,100,21
1,13,231,1,231,2,123102,92.7,21
1,15,231,1,231,4,123104,99.4,21
1,17,231,1,231,1,123101,100,21
1,19,231,1,231,3,123103,64.7,21
1,21,231,1,231,2,123102,47.7,21
1,23,231,1,231,2,123102,97.9,21
1,25,231,1,231,2,123102,67.9,21
1,27,231,1,231,4,123104,64.3,21
1,29,231,1,231,4,123104,86.8,21
1,31,232,1,232,2,123202,67,21
1,33,231,1,231,2,123102,51.1,21
1,35,232,1,232,2,123202,89.9,21
1,37,231,1,231,4,123104,50.5,21
1,39,232,1,232,2,123202,99.7,21
1,41,231,1,231,2,123102,94,21
1,43,231,1,231,3,123103,100,21
1,45,231,1,231,2,123102,51.3,21
1,47,231,1,231,2,123102,100,21
1,49,231,1,231,3,123103,98.5,21
1,51,231,1,231,2,123102,55.4,21
1,53,232,1,232,2,123202,100,21
1,55,231,1,231,3,123103,95.7,21
1,57,231,1,231,2,123102,88.8,21
1,59,231,1,231,2,123102,67.9,21
1,61,232,1,232,2,123202,100,21
1,63,231,1,231,2,123102,100,21
1,65,231,1,231,2,123102,100,21
1,67,231,1,231,2,123102,66.7,21
1,69,232,1,232,2,123202,100,21
1,71,221,1,221,8,122108,59.4,21
1,73,231,1,231,3,123103,94.8,21
1,75,231,1,231,2,123102,100,21
1,77,222,1,222,5,122205,52.4,21
1,79,222,1,222,5,122205,53.1,21
1,81,231,1,231,1,123101,100,21
1,83,222,1,222,5,122205,100,21
1,85,231,1,231,2,123102,100,22
1,87,231,1,231,2,123102,81.5,22
1,89,222,1,222,5,122205,97.3,22
1,91,231,1,231,2,123102,100,22
1,93,231,1,231,2,123102,98.1,22
1,95,231,1,231,3,123103,94.2,22
1,97,232,1,232,2,123202,100,22
1,99,232,1,232,2,123202,52.3,22
1,101,231,1,231,2,123102,100,22
1,103,231,1,231,3,123103,66.8,22
1,105,231,1,231,2,123102,100,22
1,107,231,1,231,2,123102,100,22
1,109,231,1,231,2,123102,100,22
1,111,231,1,231,1,123101,94.7,22
1,113,231,1,231,2,123102,69.6,22
1,115,231,1,231,3,123103,50.9,22
1,117,231,1,231,4,123104,94.5,22
1,119,231,1,231,2,123102,100,22
1,121,231,1,231,4,123104,100,22
1,123,231,1,231,1,123101,97.1,22
1,125,231,1,231,2,123102,79.9,22
1,127,231,1,231,3,123103,92.9,22
1,129,232,1,232,2,123202,99.8,22
1,131,231,1,231,2,123102,100,22
1,133,231,1,231,3,123103,79.5,22
4,1,313,1,313,2,131302,47,22
4,3,321,1,321,1,132101,100,22
4,5,313,1,313,1,131301,33.3,22
4,7,313,1,313,3,131303,63.5,22
4,9,321,1,321,1,132101,51.5,22
4,11,321,1,321,1,132101,50.5,22
4,12,322,1,322,2,132202,99.8,22
4,13,322,1,322,2,132202,86.5,22
4,15,322,1,322,1,132201,43.5,22
4,17,313,1,313,2,131302,43.3,22
4,19,322,1,322,2,132202,90.9,22
4,21,322,1,322,2,132202,94.1,22
4,23,322,1,322,2,132202,51.6,22
4,25,313,1,313,3,131303,77.9,22
4,27,322,1,322,2,132202,85.7,22
5,1,234,1,234,1,123401,100,23
5,3,234,1,234,1,123401,55.6,23
5,7,222,1,222,1,122201,100,23
5,9,222,1,222,1,122201,100,23
5,11,231,1,231,5,123105,100,23
5,13,231,1,231,5,123105,100,23
5,15,222,1,222,1,122201,100,23
5,17,234,1,234,1,123401,100,23
5,19,231,1,231,5,123105,63.5,23
5,21,234,1,234,1,123401,98.1,23
5,23,1222,2,222,1,222201,79.4,23
5,25,231,1,231,5,123105,100,23
5,27,231,1,231,5,123105,100,23
5,29,231,1,231,7,123107,95,23
5,31,234,1,234,1,123401,100,23
5,33,1222,2,222,1,222201,99.9,23
5,35,234,1,234,1,123401,100,23
5,37,234,1,234,1,123401,100,23
5,39,231,1,231,5,123105,100,23
5,41,234,1,234,1,123401,100,23
5,43,231,1,231,5,123105,58.4,23
5,45,231,1,231,7,123107,99.7,23
5,47,1222,2,222,1,222201,74.7,23
5,49,222,1,222,1,122201,100,23
5,51,1231,2,231,1,223101,100,23
5,53,231,1,231,5,123105,99.9,23
5,55,234,1,234,1,123401,100,23
5,57,231,1,231,5,123105,93.3,23
5,59,1231,2,231,1,223101,75.3,23
5,61,1231,2,231,1,223101,51.6,23
5,63,222,1,222,1,122201,65.9,23
5,65,222,1,222,1,122201,100,23
5,67,234,1,234,1,123401,97.1,23
5,69,234,1,234,1,123401,58.7,23
5,71,1222,2,222,1,222201,94,23
5,73,231,1,231,5,123105,51.1,23
5,75,234,1,234,1,123401,56,23
5,77,234,1,234,1,123401,100,23
5,79,234,1,234,1,123401,55.3,23
5,81,231,1,231,5,123105,92.4,23
5,83,231,1,231,7,123107,99.4,23
5,85,234,1,234,1,123401,57.8,23
5,87,1222,2,222,1,222201,56.9,23
5,89,222,1,222,1,122201,100,24
5,91,231,1,231,5,123105,52.3,24
5,93,234,1,234,1,123401,100,24
5,95,234,1,234,1,123401,100,24
5,97,1231,2,231,1,223101,100,24
5,99,231,1,231,5,123105,100,24
5,101,1222,2,222,1,222201,79.8,24
5,103,231,1,231,5,123105,100,24
5,105,231,1,231,7,123107,52.8,24
5,107,234,1,234,1,123401,100,24
5,109,1231,2,231,1,223101,67.3,24
5,111,234,1,234,1,123401,100,24
5,113,1231,2,231,1,223101,100,24
5,115,1222,2,222,1,222201,59.7,24
5,117,234,1,234,1,123401,67.7,24
5,119,1231,2,231,1,223101,38.7,24
5,121,222,1,222,1,122201,81.8,24
5,123,234,1,234,1,123401,100,24
5,125,1231,2,231,1,223101,82.1,24
5,127,231,1,231,7,123107,60.8,24
5,129,222,1,222,1,122201,76.8,24
5,131,231,1,231,7,123107,87.4,24
5,133,231,1,231,5,123105,59.3,24
5,135,222,1,222,1,122201,100,24
5,137,222,1,222,1,122201,97.7,24
5,139,231,1,231,5,123105,100,24
5,141,1222,2,222,1,222201,81.7,24
5,143,222,1,222,1,122201,65.3,24
5,145,231,1,231,7,123107,60.3,24
5,147,234,1,234,1,123401,100,24
5,149,231,1,231,7,123107,70.3,24
6,1,261,1,261,1,126101,62.2,24
6,3,1261,2,261,5,226105,92.3,24
6,5,1261,2,261,6,226106,52.9,24
6,7,1261,2,261,6,226106,43.6,24
6,9,1261,2,261,6,226106,52.8,24
6,11,262,1,262,1,126201,55.7,24
6,13,261,1,261,1,126101,45.4,24
6,15,1261,2,261,1,226101,68.1,24
6,17,1261,2,261,5,226105,77.9,24
6,19,262,1,262,1,126201,40.4,24
6,21,262,1,262,1,126201,50.8,24
6,23,1261,2,261,2,226102,34.9,25
6,25,322,1,322,3,132203,70.2,25
6,27,322,1,322,1,132201,75.6,25
6,29,1261,2,261,6,226106,19.9,25
6,31,262,1,262,1,126201,80.8,25
6,33,1261,2,261,2,226102,81.5,25
6,35,1261,2,261,7,226107,58.2,25
6,37,1262,2,262,2,226202,65.5,25
6,39,1261,2,261,5,226105,34,25
6,41,263,1,263,1,126301,98.4,25
6,43,1261,2,261,5,226105,47.4,25
6,45,1261,2,261,2,226102,60.4,25
6,47,262,1,262,1,126201,73.8,25
6,49,1261,2,261,7,226107,86.1,25
6,51,341,1,341,4,134104,74.4,25
6,53,1262,2,262,1,226201,64.9,25
6,55,1261,2,261,3,226103,46,25
6,57,1261,2,261,5,226105,78.3,25
6,59,261,1,261,2,126102,84.7,25
6,61,1261,2,261,5,226105,69.8,25
6,63,1261,2,261,5,226105,87.4,25
6,65,322,1,322,2,132202,35.2,25
6,67,262,1,262,1,126201,95.6,25
6,69,1262,2,262,1,226201,90.9,25
6,71,322,1,322,1,132201,83.9,25
6,73,1262,2,262,2,226202,76.6,25
6,75,261,1,261,1,126101,100,25
6,77,262,1,262,1,126201,87.9,25
6,79,1262,2,262,1,226201,74.4,25
6,81,261,1,261,1,126101,100,25
6,83,1262,2,262,1,226201,46.9,25
6,85,261,1,261,1,126101,75.3,25
6,87,261,1,261,1,126101,100,25
6,89,1261,2,261,4,226104,33.8,25
6,91,1261,2,261,5,226105,96,25
6,93,1261,2,261,1,226101,52.8,25
6,95,262,1,262,1,126201,82,25
6,97,1261,2,261,2,226102,51.4,25
6,99,262,1,262,1,126201,64.8,25
6,101,262,1,262,1,126201,100,25
6,103,1261,2,261,3,226103,21,25
6,105,1261,2,261,1,226101,82,25
6,107,1261,2,261,5,226105,46.2,25
6,109,1261,2,261,5,226105,78.4,26
6,111,1262,2,262,1,226201,29.5,26
6,113,262,1,262,1,126201,74.9,26
6,115,1261,2,261,6,226106,45.1,26
8,1,331,1,331,8,133108,99,26
8,3,331,1,331,10,133110,91.7,26
8,5,331,1,331,9,133109,67.7,26
8,7,1331,2,331,7,233107,91.6,26
8,9,331,1,331,9,133109,67.4,26
8,11,331,1,331,9,133109,98.2,26
8,13,1331,2,331,9,233109,88,26
8,15,1331,2,331,8,233108,76.1,26
8,17,331,1,331,8,133108,66.4,26
8,19,1331,2,331,9,233109,100,26
8,21,1331,2,331,7,233107,77.2,26
8,23,331,1,331,10,133110,86.9,26
8,25,331,1,331,9,133109,100,26
8,27,1331,2,331,6,233106,100,26
8,29,1331,2,331,8,233108,59.2,26
8,31,331,1,331,8,133108,95.9,26
8,33,1331,2,331,7,233107,66,26
8,35,1331,2,331,9,233109,54.1,26
8,37,1331,2,331,8,233108,88.1,26
8,39,331,1,331,9,133109,99.8,26
8,41,331,1,331,9,133109,79.9,26
8,43,1331,2,331,9,233109,45.2,26
8,45,1341,2,341,2,234102,55.2,26
8,47,1331,2,331,9,233109,100,26
8,49,1331,2,331,9,233109,92.7,26
8,51,1331,2,331,8,233108,68.2,26
8,53,1331,2,331,7,233107,100,26
8,55,1331,2,331,6,233106,59.7,26
8,57,1331,2,331,9,233109,91.5,26
8,59,1331,2,331,9,233109,96,26
8,61,331,1,331,8,133108,75.6,26
8,63,331,1,331,8,133108,62.9,26
8,65,1331,2,331,8,233108,87.7,26
8,67,1331,2,331,7,233107,70.5,26
8,69,1331,2,331,9,233109,88,26
8,77,1331,2,331,7,233107,29.4,26
8,79,1331,2,331,7,233107,100,26
8,81,342,1,342,7,134207,51.5,26
8,83,313,1,313,1,131301,63.7,27
8,85,341,1,341,2,134102,61.1,27
8,87,331,1,331,8,133108,100,27
8,89,331,1,331,9,133109,100,27
8,91,1331,2,331,7,233107,97.2,27
8,93,1331,2,331,9,233109,99.8,27
8,95,331,1,331,3,133103,100,27
8,97,1331,2,331,8,233108,100,27
8,99,331,1,331,9,133109,85.7,27
8,101,331,1,331,9,133109,92.4,27
8,103,1341,2,341,2,234102,70.4,27
8,105,1331,2,331,7,233107,95.4,27
8,107,1331,2,331,8,233108,91.8,27
8,109,1331,2,331,7,233107,75.2,27
8,111,1331,2,331,7,233107,100,27
8,113,1331,2,331,7,233107,54,27
8,115,331,1,331,3,133103,100,27
8,117,1331,2,331,9,233109,100,27
8,119,1331,2,331,9,233109,100,27
8,121,331,1,331,8,133108,95.8,27
8,123,331,1,331,8,133108,100,27
8,125,331,1,331,3,133103,96.6,27
9,1,221,1,221,1,122101,100,27
9,3,221,1,221,1,122101,93.1,27
9,5,221,1,221,1,122101,82.9,27
9,7,221,1,221,1,122101,100,27
9,9,221,1,221,1,122101,100,27
9,11,221,1,221,1,122101,100,27
9,13,221,1,221,1,122101,100,27
9,15,221,1,221,1,122101,100,27
10,1,232,1,232,1,123201,95.7,27
10,3,221,1,221,3,122103,70.2,27
10,5,232,1,232,1,123201,100,27
11,1,231,1,231,1,123101,100,27
12,5,232,1,232,4,123204,96.7,27
12,7,232,1,232,2,123202,100,27
12,9,232,1,232,7,123207,87.3,27
12,11,411,1,411,1,141101,100,27
12,13,232,1,232,4,123204,74.4,27
12,15,232,1,232,4,123204,69.2,28
12,17,232,1,232,2,123202,67.8,28
12,19,232,1,232,2,123202,96.3,28
12,21,411,1,411,1,141101,79.1,28
12,23,232,1,232,2,123202,100,28
12,25,411,1,411,1,141101,100,28
12,27,232,1,232,2,123202,86.1,28
12,29,232,1,232,4,123204,99.9,28
12,31,232,1,232,7,123207,89.4,28
12,33,232,1,232,2,123202,58.4,28
12,35,232,1,232,7,123207,77.9,28
12,37,232,1,232,4,123204,100,28
12,39,232,1,232,2,123202,93.9,28
12,41,232,1,232,2,123202,93.7,28
12,43,232,1,232,2,123202,84.4,28
12,45,232,1,232,4,123204,100,28
12,47,232,1,232,2,123202,100,28
12,49,232,1,232,2,123202,100,28
12,51,232,1,232,2,123202,60.4,28
12,53,232,1,232,2,123202,63.7,28
12,55,232,1,232,2,123202,100,28
