"id","species","family","source_file","upstream_commit"
"NVB0000015",15,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0000746",746,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210110",110,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210122",122,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210131",131,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210202",202,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210263",263,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210316",316,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210621",621,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210746",746,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210802",802,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0210833",833,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230110",110,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230122",122,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230131",131,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230202",202,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230263",263,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230316",316,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230621",621,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230746",746,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230802",802,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVB0230833",833,"nsvb","TREEVOLUME_FIXTURES/anomalies/nsvb_210_230_representative.double.csv","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240110",110,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240119",119,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240122",122,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240131",131,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240202",202,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240263",263,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240316",316,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240351",351,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240621",621,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240746",746,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240802",802,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM240833",833,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330093",93,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330110",110,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330122",122,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330131",131,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330202",202,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330263",263,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330316",316,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330621",621,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330746",746,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330802",802,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
"NVBM330833",833,"nsvb","TREEVOLUME_FIXTURES/full/nsvb.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
