"source_file","source_line_start","source_line_end","target","statement_ordinal","literal","value","upstream_commit"
"scrib.f",32,42,"FACTOR",1,"0.000",0,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",2,"0.143",0.143,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",3,"0.390",0.39,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",4,"0.676",0.676,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",5,"1.070",1.07,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",6,"1.160",1.16,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",7,"1.400",1.4,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",8,"1.501",1.501,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",9,"2.084",2.084,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",10,"3.126",3.126,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",11,"3.749",3.749,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",12,"4.900",4.9,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",13,"6.043",6.043,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",14,"7.140",7.14,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",15,"8.880",8.88,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",16,"10.000",10,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",17,"11.528",11.528,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",18,"13.290",13.29,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",19,"14.990",14.99,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",20,"17.499",17.499,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",21,"18.990",18.99,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",22,"20.880",20.88,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",23,"23.510",23.51,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",24,"25.218",25.218,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",25,"28.677",28.677,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",26,"31.249",31.249,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",27,"34.220",34.22,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",28,"36.376",36.376,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",29,"38.040",38.04,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",30,"41.060",41.06,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",31,"44.376",44.376,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",32,"45.975",45.975,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",33,"48.990",48.99,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",34,"50.000",50,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",35,"54.688",54.688,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",36,"57.660",57.66,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",37,"64.319",64.319,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",38,"66.730",66.73,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",39,"70.000",70,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",40,"75.240",75.24,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",41,"79.480",79.48,"38548071d5aa652bb90c7f111f86b427f798a1c9"
