"region","even_or_odd","option","maximum_length","minimum_length","minimum_top_length","merchantable_length","primary_top","secondary_top","stump","trim","minimum_board_foot_dbh","scribner","source_file","source_line_start","source_line_end","upstream_commit"
1,2,22,16,2,16,8,5.6,4,1,0.5,1,"table","mrules.f",46,86,"38548071d5aa652bb90c7f111f86b427f798a1c9"
2,2,22,16,2,2,8,6,4,1,0.5,1,"table","mrules.f",87,104,"38548071d5aa652bb90c7f111f86b427f798a1c9"
3,2,22,16,10,10,10,6,4,1,0.5,1,"table","mrules.f",105,261,"38548071d5aa652bb90c7f111f86b427f798a1c9"
4,2,22,16,2,2,8,6,4,1,0.5,1,"table","mrules.f",262,279,"38548071d5aa652bb90c7f111f86b427f798a1c9"
5,2,22,16,2,2,8,6,4,1,0.5,1,"table","mrules.f",280,301,"38548071d5aa652bb90c7f111f86b427f798a1c9"
6,2,23,16,2,2,8,2,2,0,0.5,1,"factor","mrules.f",302,320,"38548071d5aa652bb90c7f111f86b427f798a1c9"
7,2,23,16,2,2,8,,2,1,0.5,1,"factor","mrules.f",321,336,"38548071d5aa652bb90c7f111f86b427f798a1c9"
8,2,22,8,2,2,8,,4,,0.5,1,"table","mrules.f",337,369,"38548071d5aa652bb90c7f111f86b427f798a1c9"
9,2,22,8,2,4,8,,4,,0.3,1,"table","mrules.f",370,395,"38548071d5aa652bb90c7f111f86b427f798a1c9"
10,2,23,16,8,8,8,6,4,1,0.5,1,"factor","mrules.f",396,413,"38548071d5aa652bb90c7f111f86b427f798a1c9"
11,2,23,16,2,2,8,2,2,0,0.5,1,"factor","mrules.f",302,320,"38548071d5aa652bb90c7f111f86b427f798a1c9"
