"family","output","precision","compat","rows_compared","rows_within_tolerance","max_relative_difference","tolerance","exclusions"
"behre_taper","DIB","double","port",1780,1780,2.91016253241055e-16,2e-12,"none"
"behre_taper","DIB","single","port",1780,1780,1.74115995275221e-07,3e-04,"none"
"behre_taper","height at DIB","double","nvel",1323,1323,0,4e-05,"at_or_below_contract_stump 214"
"behre_taper","height at DIB","single","nvel",1323,1323,4.82866067038668e-08,0.002,"at_or_below_contract_stump 214"
"behre_taper","stump cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 205"
"behre_taper","stump cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 205"
"behre_taper","tip cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 205"
"behre_taper","tip cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 205"
"behre_taper","total cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 205"
"behre_taper","total cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 205"
"blm_taper","DIB","double","port",30106,30106,3.5258989178625e-16,2e-12,"none"
"blm_taper","DIB","single","port",30106,30106,2.01304659383392e-07,3e-04,"none"
"blm_taper","height at DIB","double","nvel",22683,22683,0,4e-05,"at_or_below_contract_stump 3441"
"blm_taper","height at DIB","single","nvel",22683,22683,4.82866067038668e-08,0.002,"at_or_below_contract_stump 3441"
"blm_taper","stump cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 3431"
"blm_taper","stump cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 3431"
"blm_taper","tip cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 3431"
"blm_taper","tip cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 3431"
"blm_taper","total cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag 3431"
"blm_taper","total cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag 3431"
"clark_r8","DIB","double","port",1478303,1478303,1.10811848953829e-14,2e-04,"nonzero_errflag 501364, nonfinite_oracle  25058"
"clark_r8","DIB","single","port",1478303,1478303,9.0763410493604e-05,3e-04,"nonzero_errflag 501364, nonfinite_oracle  25058"
"clark_r8","height at DIB","double","nvel",4,4,0,4e-05,"outside_834CLKE110_overlap 1739061"
"clark_r8","height at DIB","single","nvel",4,4,1.50467604549073e-06,0.002,"outside_834CLKE110_overlap 1739061"
"clark_r8","height at DIB","double","port",1163439,1163439,2.19548938542147e-15,4e-05,"nonzero_errflag 434899, nonfinite_oracle  53831, below_contract_stump  86892, overlapping_roots      4"
"clark_r8","height at DIB","single","port",1163439,1163439,0.000134081101171434,0.002,"nonzero_errflag 434899, nonfinite_oracle  53831, below_contract_stump  86892, overlapping_roots      4"
"clark_r8","stump cubic volume","double","port",600721,600721,7.97995156642024e-16,1e-12,"library_nonzero_errflag 217268, library_or_port_stump_unavailable  28259, output_derived_driver_difference  23408"
