"family","source_file","source_line_start","source_line_end","target","ordinal","literal","value_numeric","upstream_commit"
"r10","r10tap.f",36,38,"spruce_shape",1,"1.5",1.5,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",36,38,"spruce_h1",1,"-.0052554",-0.0052554,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",36,38,"spruce_h2",1,"0.000034947",3.4947e-05,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",36,38,"spruce_hd",1,"0.104477",0.104477,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",36,38,"spruce_d2",1,"7.76807",7.76807,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",36,38,"spruce_h2_tail",1,"- 0.0000094852",-9.4852e-06,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",36,38,"spruce_hd_tail",1,"- 0.011351",-0.011351,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",43,43,"spruce_bark_0",1,"0.8467",0.8467,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",43,43,"spruce_bark_d",1,"0.0009144",0.0009144,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",43,43,"spruce_bark_h",1,"0.0003568",0.0003568,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",51,54,"redcedar_d2",1,"5.17703194",5.17703194,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",51,54,"redcedar_d",1,"- 0.12516819",-0.12516819,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",51,54,"redcedar_h",1,"0.02537037",0.02537037,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",51,54,"redcedar_h2",1,"- 0.00004193",-4.193e-05,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",51,54,"redcedar_d_sq",1,"0.00155481",0.00155481,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",51,54,"redcedar_h2_tail",1,"-0.00002070",-2.07e-05,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",51,54,"redcedar_d2_tail",1,"0.24125235",0.24125235,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",58,58,"redcedar_bark_0",1,"0.86031485",0.86031485,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",58,58,"redcedar_bark_h",1,"0.00059638",0.00059638,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",58,58,"redcedar_bark_d_inv",1,"- 0.18335961",-0.18335961,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",67,70,"alaska_cedar_d",1,"-0.02834001",-0.02834001,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",67,70,"alaska_cedar_h2",1,"0.00007123",7.123e-05,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",67,70,"alaska_cedar_hd",1,"0.06709114",0.06709114,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",67,70,"alaska_cedar_d_tail",1,".00282021",0.00282021,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",67,70,"alaska_cedar_h2_tail",1,"- 0.00002277",-2.277e-05,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",67,70,"alaska_cedar_d2_tail",1,"1.06064717",1.06064717,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",67,70,"alaska_cedar_hd_tail",1,"- 0.00528349",-0.00528349,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",74,74,"alaska_cedar_bark_0",1,"0.95866817",0.95866817,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",74,74,"alaska_cedar_bark_d",1,"0.00064402",0.00064402,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",74,74,"alaska_cedar_bark_h_inv",1,"- 3.1299972",-3.1299972,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",79,84,"alder_0",1,"0.91274",0.91274,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",79,84,"alder_d",1,"1.9758",1.9758,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",79,84,"alder_h",1,"8.2375",8.2375,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",79,84,"alder_hd",1,"4.964",4.964,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",79,84,"alder_sqrt_h",1,"3.773",3.773,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10tap.f",79,84,"alder_h2",1,"7.417",7.417,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",109,113,"fstgro_short_0",1,"0.406098",0.406098,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",109,113,"fstgro_short_d",1,"- 0.0762998",-0.0762998,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",109,113,"fstgro_short_dh",1,"0.00262615",0.00262615,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",115,116,"fstgro_tall_0",1,"0.480961",0.480961,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",115,116,"fstgro_tall_h2",1,"42.46542",42.46542,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",115,116,"fstgro_tall_dh2",1,"- 10.99643",-10.99643,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",115,116,"fstgro_tall_dh",1,"- 0.107809",-0.107809,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",115,116,"fstgro_tall_d",1,"- 0.00409083",-0.00409083,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",118,118,"fstgro_scale",1,"0.005454154",0.005454154,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",143,143,"secgro_0",1,"-5.577",-5.577,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",143,143,"secgro_d",1,"1.9067",1.9067,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol.f",143,143,"secgro_h",1,"0.9416",0.9416,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol1.f",1005,1005,"r10tc_pi",1,"3.1416",3.1416,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10","r10vol1.f",1012,1012,"r10tc_smalian",1,".00272708",0.00272708,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",1,"0.5563",0.5563,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",2,"0.4496",0.4496,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",3,"0.2359",0.2359,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",4,"0.8435",0.8435,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",5,"1.1152",1.1152,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",6,"0.5405",0.5405,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4_driver","r4vol.f",559,576,"CFCOEF(20,7)",7,"1.2552",1.2552,"38548071d5aa652bb90c7f111f86b427f798a1c9"
