"id","family","species","source_file","upstream_commit","oracle_tested"
"A01BRUW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A01BRUW202","r10_taper",202,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A01CURW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A01CURW202","r10_taper",202,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A01DEMW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A01DEMW202","r10_taper",202,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A02BRUW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A02CURW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A02DEMW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16BRUW042","r10_taper",42,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16BRUW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16BRUW242","r10_taper",242,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16BRUW260","r10_taper",260,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16BRUW351","r10_taper",351,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16CURW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16CURW260","r10_taper",260,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16CURW351","r10_taper",351,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16DEMW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16DEMW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16DEMW202","r10_taper",202,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16DEMW260","r10_taper",260,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A16DEMW351","r10_taper",351,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32BRUW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32BRUW042","r10_taper",42,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32BRUW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32BRUW242","r10_taper",242,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32BRUW351","r10_taper",351,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32CURW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32CURW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32CURW351","r10_taper",351,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32DEMW000","r10_taper",0,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32DEMW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A32DEMW351","r10_taper",351,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A61BRUW042","r10_taper",42,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A61BRUW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A61BRUW242","r10_taper",242,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A61CURW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"A61DEMW098","r10_taper",98,"r10tap.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW015","r4_driver",15,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW019","r4_driver",19,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW020","r4_driver",20,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW073","r4_driver",73,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW081","r4_driver",81,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW093","r4_driver",93,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW108","r4_driver",108,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW117","r4_driver",117,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW122","r4_driver",122,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW202","r4_driver",202,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"400MATW746","r4_driver",746,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"401MATW015","r4_driver",15,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"401MATW108","r4_driver",108,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
"401MATW122","r4_driver",122,"r4vol.f","38548071d5aa652bb90c7f111f86b427f798a1c9",TRUE
