"source_file","role","evidence","upstream_commit"
"r10tap.f","active Region 10 taper","r10tap.f:1-202","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10tapo.f","older Region 10 taper reference","r10tapo.f","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10d2h.f","Region 10 direct-volume reference","r10d2h.f","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10vol.f","Region 10 driver and small trees","r10vol.f:1-153","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10vol1.f","Region 10 total cubic integration","r10vol1.f:980-1021","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r10volo.f","older Region 10 volume driver","r10volo.f:1-11","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4d2h.f","Region 4 direct-volume reference","r4d2h.f","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r4vol.f","Region 4 driver, Mathis taper, and CFCOEF","r4vol.f:1-6 revision history; r4vol.f:28 says the former CFCOEF statement was commented out 03/21/2017 YW; r4vol.f:559-576 is active","38548071d5aa652bb90c7f111f86b427f798a1c9"
"profile.f","profile dispatch and R10HTS","profile.f:144-146, 1643-2056","38548071d5aa652bb90c7f111f86b427f798a1c9"
"calcdia.f","diameter dispatch","calcdia.f Region 10 and Region 4","38548071d5aa652bb90c7f111f86b427f798a1c9"
"ht2topd.f","height-at-diameter dispatch","ht2topd.f:247-260 Region 10; Region 4 R4MATTAPER","38548071d5aa652bb90c7f111f86b427f798a1c9"
