"species","id","family","source_file","upstream_commit"
0,"616BEHW000","behre_taper","TREEVOLUME_FIXTURES/full/behre_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
231,"616BEHW231","behre_taper","TREEVOLUME_FIXTURES/full/behre_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
11,"B00BEHW011","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
15,"B00BEHW015","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
17,"B00BEHW017","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
21,"B00BEHW021","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
22,"B00BEHW022","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
41,"B00BEHW041","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
42,"B00BEHW042","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
73,"B00BEHW073","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
81,"B00BEHW081","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
93,"B00BEHW093","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
98,"B00BEHW098","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
108,"B00BEHW108","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
116,"B00BEHW116","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
117,"B00BEHW117","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
119,"B00BEHW119","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,"B00BEHW122","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
211,"B00BEHW211","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
231,"B00BEHW231","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"B00BEHW242","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"B00BEHW260","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
263,"B00BEHW263","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
312,"B00BEHW312","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
351,"B00BEHW351","blm_taper","TREEVOLUME_FIXTURES/full/blm_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
