voleq,position1_family_code,forest_or_geoarea,model_mnemonic,species_code,family,profile_based,dispatch_routine,source,notes
100FW2W202,1,00,FW2W,202,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:200,Literal default-equation / species-validity string in voleqdef.f.
100JB2W017,1,00,JB2W,017,r1_taper,TRUE,R1TAP (r1tap.f:3),voleqdef.f:201,Literal default-equation / species-validity string in voleqdef.f.
100JB2W019,1,00,JB2W,019,r1_taper,TRUE,R1TAP (r1tap.f:3),voleqdef.f:207,Literal default-equation / species-validity string in voleqdef.f.
100JB2W073,1,00,JB2W,073,r1_taper,TRUE,R1TAP (r1tap.f:3),voleqdef.f:204,Literal default-equation / species-validity string in voleqdef.f.
100JB2W108,1,00,JB2W,108,r1_taper,TRUE,R1TAP (r1tap.f:3),voleqdef.f:201,Literal default-equation / species-validity string in voleqdef.f.
100JB2W122,1,00,JB2W,122,r1_taper,TRUE,R1TAP (r1tap.f:3),voleqdef.f:202,Literal default-equation / species-validity string in voleqdef.f.
100JB2W202,1,00,JB2W,202,r1_taper,TRUE,R1TAP (r1tap.f:3),voleqdef.f:200,Literal default-equation / species-validity string in voleqdef.f.
101DVEW017,1,01,DVEW,017,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:201,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW019,1,01,DVEW,019,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:204,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW060,1,01,DVEW,060,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:201,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW073,1,01,DVEW,073,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:204,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
