jsp,species,region,source_file_lines,active,notes
3,Douglas-fir,"Oregon/Washington (Coast Range, Eastern Cascades/Willamette Valley, North Oregon, Rogue-Siskiyou, South Oregon, Western/Willamette Cascades, Willamette Valley, Wind River/SW Washington sub-regions; DFSUB region table)",f_west.f:14-15,TRUE,"SHP_W3, ""Copyright J. W. Flewelling, 1994"" (f_west.f:19). 8-way DFSUB/r25/r34 sub-region adjustment table at f_west.f:40-50; region order ""CO EV NO RS SO WE WV WC / OR OR WA WA WA WA OR WA"" (f_west.f:40-41)."
4,Western Hemlock,Oregon/Washington,f_west.f:152-153,TRUE,"SHP_W4, ""Copyright J. W. Flewelling, 1994"" (f_west.f:158)."
5,Red Cedar (Western Red Cedar),Oregon/Washington,f_west.f:303-304,TRUE,"SHP_W5, ""Copyright J. W. Flewelling, 1994"" (f_west.f:309)."
6,NOT DETERMINED (no JSP=6 species found in f_west.f/f_ingy.f/f_alaska.f/f_other.f),,,, "Gap between JSP 3-5 (f_west.f) and 11-21 (f_ingy.f); no DATA row or SHP_* dispatch branch for JSP=6 was found in sf_shp.f."
7,NOT DETERMINED,,,, "See JSP=6 note; same gap."
8,NOT DETERMINED,,,, "See JSP=6 note; same gap."
9,NOT DETERMINED,,,, "See JSP=6 note; same gap."
10,NOT DETERMINED,,,, "See JSP=6 note; same gap."
11,Douglas-fir,"Pacific Northwest east-side (NW Taper Coop #2 / INGY)",f_ingy.f:36-37,TRUE,"SHP_C2 dispatch for JSP 11-21 at sf_shp.f:16,41. ""J. W. Flewelling, July, 1996"" (f_ingy.f:19). Sub-region override table dfSUB(3) (f_ingy.f:51)."
12,Western Larch,Pacific Northwest east-side,f_ingy.f:58-59,TRUE,"Sub-region override table WLSUB(21) (f_ingy.f:79-81, keyed to codes 11-14/21-23)."
13,Grand Fir,Pacific Northwest east-side,f_ingy.f:84-85,TRUE,"Sub-region override table GFSUB(14) (f_ingy.f:99-104, keyed to codes 11-14)."
14,Ponderosa Pine,Pacific Northwest east-side,f_ingy.f:107-108,TRUE,"Sub-region override table PPSUB(16) (f_ingy.f:23-ff, per NVEL_INVENTORY.md Sec 3.1)."
15,Lodgepole Pine,Pacific Northwest east-side,f_ingy.f:132-133,TRUE,""
